project_id,name,time_took
kkst1451568084,drawing for dollars,731294.0
kkst597742710,Help me write my second novel.,2589391.0
kkst194050612,Drive A Faster Car 2.0,2617731.0
kkst934689279,"Indie Nerd Board Game, Needs Player Character Miniature Sculpted!  ",2673359.0
kkst191414809,Icons for your iPhone apps,4052956.0
kkst485555421,Project Pedal,2866811.0
kkst1261713500,Crossword Puzzles!,5349198.0
kkst139451001,It Might Become a Movie,2804660.0
kkst1765345673,365 Postcards,4797645.0
kkst858578162,Up North Cookbook,5269148.0
kkst1714875186,Take a postcard trip with Anita as she watercolors her way through Bosnia & Croatia,1796079.0
kkst1055594093,Decorative Nihilism Art Catalog,4316297.0
kkst2097371618,Unschooling : The Movie,1465904.0
kkst700257702,Send some kids to GameCamp!,2626042.0
kkst289563306,"Unbunny's """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Black Strawberries"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Limited-Edition LP",5346707.0
kkst1298731864,Help fund Flying Kebab #4,1978908.0
kkst1066861265,Firewall of Sound,3600778.0
kkst1352469426,Help make Attractive Eighties Women's new album,3474304.0
kkst1879233905,Offline Wikipedia iPhone app,6881049.0
kkst445180684,"Help Polyvinyl Save 10,000 Records From Destruction",4578816.0
kkst1659244608,Put Gareth Asher on Tour!,2968659.0
kkst1382971299,Meeting Andrei Tarkovsky - Phase 2,2235801.0
kkst420481742,"Produce a """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Mean"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Feature Film",794753.0
kkst956879056,Skeletons Don't Sleep,2766019.0
kkst2037031751,Lexi Street Music Project :: Operation Cd Completion :: Needs YOU!,1718412.0
kkst412049108,Allison Weiss makes a full-length record!,6454837.0
kkst1574211029,Uncle Magazine Issue 3,3081515.0
kkst70908191,Cheap art!,2587373.0
kkst833826170,Do It Again: One Man's Quest to Reunite the Kinks,7400134.0
kkst1759781298,Sycophants: Help Bring Our TV Pilot to Life!,1772168.0
kkst1379463483,LOVELAND: CROWD CREATE A CITY ON A MILLION INCHES IN DETROIT!!,1323420.0
kkst560246947,"Frkwys: Excepter 12"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" (a future now series)",6061959.0
kkst750753279,LED Floaties at Hoosac River Lights!,1419522.0
kkst846416812,"LaPorte, Indiana.  Our feature doc film needs your love!",1862648.0
kkst27079081,Fund the Demo Recording with Sean Slade in Boston,424013.0
kkst1623651727,Help Shwa Make A Record? Yes!,2191036.0
kkst390712575,The Ficly Server Support Project,2855525.0
kkst39562428,"Community Mosaic Mural Project with Youth in Narobi, Kenya at Rudolph Steiner School",3337328.0
kkst1823457275,Keep Music Indie: April Smith Makes a Record,6512042.0
kkst2059940357,Livin' The Dream!,5514754.0
kkst1938540897,Fly the Kebab #5!,2414911.0
kkst200530809,THE UNDERGROUND LIBRARY,3150548.0
kkst772178670,The Knitting Lounge by Lexie Barnes,733713.0
kkst1100848982,The Georgia Theatre record: Venice is Sinking's third album on vinyl!,7696376.0
kkst1571182225,I Got Next | A Documentary on the Fighting Game Scene,3656543.0
kkst504896759,"Artloop 1.0: Back NYC Student Art, Get NYC Student Art!",3466964.0
kkst1164440109,"Super Ghosts 'n ... Ghosts? A 2D, Side-Scrolling, Shoot 'Em Up Game for XBOX 360 & PC",5394589.0
kkst2131509787,We're trying to tell the strangest science story of modern times!,3582650.0
kkst1190660704,Songs For Unusual Creatures,2723602.0
kkst1601792545,Getting Red Fly/Blue Bottle [ALL THE WAY!] home,3633792.0
kkst2077678555,Put This On: A Web Video Pilot About Dressing Like A Grownup,2529724.0
kkst1151393504,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""This Devil Storm""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""  Limited Edition Cd release",2605876.0
kkst512279659,Help me record the new tinyfolk album!,4542757.0
kkst1290728997,Experience Fun History With Us!,2142153.0
kkst1970488653,March! The Movie,3169694.0
kkst1290556701,Showpaper Issue 63,1294721.0
kkst1686024692,Listen & Learn: Music for a Different Kind of Audience,7773953.0
kkst228201316,Las Rubias del Norte need help to complete their third album.,2202410.0
kkst282103252,Florine EP on Vinyl- Limited Edition,4596409.0
kkst1315736104,"Join the journey and release Bitch's next album, """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Blasted!""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",5657612.0
kkst1538400326,Palmer Chandler - Our Micro Budgeted film needs a camera!,3018392.0
kkst2003465823,Project Monahan --> Indie-Pop's Best Kept Secret Records EP and Returns the Goods.,3973119.0
kkst606669170,Help Emergency Umbrella Records clear an over crowded warehouse and save our records.,3029424.0
kkst349641895,A Dictionary Story - Art book,3449087.0
kkst1720813089,Gordon Withers - Pre-Order The New Solo Cello Album,2554633.0
kkst544770597,Feltron vs Kickstarter,1776421.0
kkst1916948751,Matt Held - Phase II Facebook paintings,2742469.0
kkst1502867166,Dream with Me--A documentary about one year in America's Public Schools,2668900.0
kkst964342378,A new web video concept: telegraph21.,3815940.0
kkst448279949,Emoji Dick,2578730.0
kkst721557302,Put Jen Woodhouse On Tour!,5626906.0
kkst1708635996,Christmas watercolor for sale,575091.0
kkst1037096118,MakerBeam: An Open Source Building Kit,4204237.0
kkst1260358592,Helen Keller's Ukulele goes to Berlin!,5039712.0
kkst511365876,"Art Supplies, Books & Education for Indigo Youth Movement in South Africa",4998409.0
kkst7214427,A photoessay book about living well with bipolar disorder.,6214150.0
kkst523780054,Clare and the Reasons TOUR TOUR TOUR,3173428.0
kkst46630692,Resonance: Retro-Styled Adventure Game - contest entry fees and additional funding,4100411.0
kkst493304584,Robin writes a book (and you get a copy),5793137.0
kkst187453555,"Help send the short film """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Freeport"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" to festivals! ",2692010.0
